hgnc_symbol	FC..class1.class2.	P.value
SLC26A4	0.394031641158542	0.0002005
SEL1L3	0.144807592040846	0.04017
RPGRIP1	0.280509868799706	0.00216
TGM1	0.185080490694481	0.01877
PTGS1	-0.246104009883917	0.001924
SORBS1	-0.141432790929296	0.02833
NUBP2	0.35070645303286	0.000506
SCD	0.131313234677865	0.04778
MZF1	0.174132981598915	0.02314
FBXL19	0.183605090830879	0.01805
HSD3B7	-0.133563525741106	0.03374
BCL7C	0.151362038095294	0.02755
ATP5F1D	0.309359421384307	0.001152
CBARP	0.568323558607367	4.71e-06
NDUFB7	0.378569332209552	0.000274
TIMM13	0.222464557891921	0.007445
MISP	0.161007906706259	0.02414
CEP170B	0.218094788583887	0.007385
RASSF7	0.29689930039584	0.001538
PALM	0.237353532961849	0.005914
MKNK2	0.134318685660833	0.04124
ARVCF	0.333879697404169	0.0006859
ZDHHC8	0.242464644971199	0.00465
SERPIND1	0.140507454607221	0.03562
P2RX6	-0.271425676092934	0.001146
GGT1	-0.205392512989685	0.006445
CYTH4	-0.137503523749935	0.0342
ESS2	0.148480808830096	0.03028
CARD10	0.143691510282557	0.03335
SH3BP1	-0.124328135002202	0.04138
PIK3IP1	0.131471260313697	0.04995
TCF20	-0.105678077894537	0.03994
XBP1	-0.126972856257766	0.03925
POLDIP3	-0.137503523749935	0.03061
RAB36	-0.16349873228288	0.01553
LMF2	0.315091517490704	0.00108
RHBDD3	0.326805425783733	0.0008398
CHKB	-0.172487515510134	0.01381
ARSA	0.285952351222233	0.002218
TSPO	0.369594528517677	0.0003052
PDGFB	-0.144046369616707	0.01857
MTMR3	-0.142740172116082	0.02881
BRD1	0.158751428693752	0.0252
HDAC10	0.165369677690538	0.02767
ABHD4	-0.130930869826449	0.038
SDR39U1	0.134002027397734	0.04329
CDKL1	0.212066106395924	0.008797
GSTZ1	-0.126972856257766	0.04007
TELO2	0.299205200626279	0.001399
PSMC1	0.557242242365229	4.869e-06
TRIP11	-0.0894981508391026	0.03931
PSMA6	0.126895529875902	0.04578
REC8	0.149760644834091	0.02895
RABGGTA	-0.211635253327149	0.004496
PLTP	-0.160920188181103	0.01755
RAB5IF	0.450478679210362	5.1e-05
NFATC2	-0.128293401009818	0.03964
NTSR1	0.130997235324748	0.04669
C20orf27	0.132419777797495	0.04435
TRIB3	0.136537241740878	0.04142
RASSF2	-0.141432790929296	0.03227
MROH8	-0.151858816727005	0.02524
CST4	0.152484071959553	0.03104
DHX35	-0.128293401009818	0.04009
MAP1LC3A	0.129102691334971	0.04504
ZNF516	-0.142740172116082	0.0286
SMAD7	-0.187767747046025	0.009129
ANKRD12	-0.29983076182237	0.001261
SUV39H1	-0.160920188181103	0.0157
PHEX	0.302226180444814	0.00191
EEA1	-0.212880566344385	0.004106
USP11	-0.126972856257766	0.03945
KLF8	-0.219091058246197	0.003918
FGF14	0.136220096204122	0.04652
MSLN	0.14337278830161	0.03193
CORO1A	0.159879226538468	0.02534
ELMO3	-0.236339539168374	0.002594
TSNAXIP1	-0.337996463515016	0.0003112
PARD6A	0.186885808653711	0.01445
ZNF821	-0.215367972203479	0.004159
NME3	0.461561164749242	4.388e-05
HAS3	-0.14535138557262	0.02506
TANGO6	-0.158337027167101	0.01744
COG4	-0.126972856257766	0.04069
SMPD3	0.244172380777715	0.005057
AXIN1	0.126895529875902	0.04744
MLYCD	-0.195347598322219	0.006753
MPG	0.39497984693759	0.0001964
CRISPLD2	-0.177598929327733	0.01046
LMF1	0.141621074917929	0.03744
HAGHL	0.370899881839617	0.0003129
ANTKMT	0.687799537362322	3.197e-07
METRN	0.293889442803533	0.001605
STUB1	0.323913165617679	0.0008164
EEF2K	-0.140124223909071	0.02721
CAPN15	0.510046098668694	1.43e-05
PIEZO1	0.190009416024795	0.01358
NOMO1	-0.173767067736706	0.01272
TMC5	-0.167357927738514	0.01345
IQCH	-0.215367972203479	0.004181
FAH	-0.130930869826449	0.0366
CEMIP	-0.217851096811131	0.00399
RPAP1	-0.126972856257766	0.03972
TGM5	0.175598721451584	0.01724
EIF3J	0.153125626185084	0.02621
CA2	-0.194087052116302	0.008184
INTS9	-0.146655222119465	0.02271
JPH1	-0.190298791626595	0.01004
PYCR3	0.419661525804291	0.0001061
SNRNP70	0.155855418940657	0.02492
PPP1R37	0.211063770755173	0.008228
PPP1R13L	0.170069278160357	0.01844
DOT1L	0.151682530163898	0.03261
KLC3	0.342817339871577	0.0006119
SF3A2	0.2172559636048	0.00734
AMH	0.615287037577954	1.967e-06
LYL1	0.347031731125355	0.0005164
MED25	0.164237581305309	0.02151
PPP6R1	0.175109976020602	0.01701
PDCD5	0.149760644834091	0.03052
SLC1A5	-0.121678556588252	0.04671
CACTIN	0.209061186224181	0.01256
FZR1	0.169095690197941	0.02257
BBC3	0.2397364653786	0.004739
NOP53	0.25635578329374	0.003386
ICAM5	0.553849659870907	5.48e-06
RABAC1	0.130049652341001	0.04274
MEGF8	0.22044609650511	0.007147
PLA2G4C	0.216920570126388	0.007235
RAB3D	-0.176322772640463	0.01079
CAPS	0.208560974127558	0.008719
CACNG7	-0.14535138557262	0.03096
LENG1	0.275437034693329	0.002505
PRPF31	0.155694699836063	0.03483
JAK3	-0.158337027167101	0.01737
ISYNA1	0.162621840246193	0.02196
COPE	0.24656661207312	0.004202
DDX49	0.137806521524401	0.03922
FKBP8	0.189022282875856	0.01288
ERF	0.30561007259269	0.001264
ZNF85	-0.242450073677701	0.002625
ETHE1	-0.147957881387101	0.02247
RUNDC3B	-0.14535138557262	0.02769
ITGB8	0.210229022689942	0.00839
OGDH	-0.206643223983395	0.004945
LFNG	0.164075925745625	0.02199
BRAT1	0.192974874501356	0.01182
ABHD11	-0.12565110166152	0.04067
HSPB1	0.205230651686346	0.01069
SERPINE1	-0.176322772640463	0.01335
MEST	-0.177598929327733	0.01111
RARRES2	-0.130930869826449	0.04254
AGR2	0.206228941455776	0.0025
CNTNAP3	0.147042349134347	0.03051
CORO2A	-0.136191386287144	0.03148
C5	-0.20163386116965	0.005948
LHX6	0.132894270497345	0.04751
DNM1	-0.153156788061421	0.0196
ENG	-0.254594043033141	0.002346
GLIS3	-0.153156788061421	0.02056
NPDC1	0.338615223820242	0.0006234
ABCA2	0.134477040860036	0.04344
SHB	-0.128293401009818	0.03871
DVL1	0.31079031169837	0.001129
CUBN	-0.171206827418142	0.01388
ACTA2	-0.192825403552391	0.007039
LZTS2	0.221454974197195	0.006784
FBXL15	0.537214737450369	7.317e-06
ANKRD26	-0.121678556588252	0.03261
UBE2S	0.471728752896724	3.235e-05
RAPGEFL1	-0.158337027167101	0.02109
RGS9	-0.144046369616707	0.0329
RNF43	-0.12565110166152	0.04554
SEPTIN4	-0.246104009883917	0.002139
TRIM16L	-0.22650852980868	0.003076
GALK1	0.175761673396286	0.01774
RASD1	0.201907999271364	0.01072
RAI1	0.211397805264859	0.008779
ALDH3A1	0.150400988848548	0.03181
B9D1	-0.235114320376357	0.002527
DHX58	-0.24731993497982	0.001848
COL1A1	0.184096723154903	0.01398
ALOX12	0.324816374212189	0.0008603
LUC7L3	0.141461933663464	0.03817
RANGRF	-0.140124223909071	0.03152
MAP2K6	-0.172487515510134	0.008455
ALDOC	0.161007906706259	0.02897
CRACD	0.175435787910173	0.0169
SOD3	0.328616037267483	0.0007683
MFSD10	0.378569332209552	0.0002769
BST1	0.255494421371389	0.003546
FAM149A	0.159234662676126	0.02372
PPARGC1A	0.166988500841638	0.02273
CRTAM	-0.207892851641333	0.006191
ATG2A	0.133527170284152	0.04056
SLC15A3	-0.128293401009818	0.0407
SOX6	-0.149259365499623	0.02585
PITPNM1	0.161169218837124	0.0249
NDUFS8	0.154570167148848	0.02665
TCIRG1	0.256011176809147	0.003846
PRPF40B	-0.172487515510134	0.01276
CLEC2B	0.176739771766556	0.0173
ALDH2	-0.130930869826449	0.03577
GPRC5D	-0.0935601761623378	0.04744
VDR	-0.12961273813047	0.03856
C12orf57	0.129418275945414	0.04745
COX6A1	-0.137503523749935	0.03043
BTN3A3	-0.160920188181103	0.01649
FAM184A	-0.142740172116082	0.03955
GABRR2	0.259115602482341	0.003877
HINT3	0.13558601420693	0.03808
FANCE	-0.138814468902282	0.02972
CD83	-0.12565110166152	0.04123
VEGFA	0.209561571814799	0.01017
LAMA4	-0.12961273813047	0.03983
FBRSL1	0.288416992526039	0.001803
MRPS30	0.123905487270091	0.04874
PRLR	-0.27500704749987	0.0009536
PDGFRB	-0.18269229751619	0.01097
DBN1	0.134793803412827	0.03937
NPRL2	-0.12961273813047	0.03787
CYB561D2	-0.124328135002202	0.04657
PLSCR4	-0.150559676575381	0.02424
HEMK1	-0.12961273813047	0.04189
CISH	-0.147957881387101	0.02715
ABHD14B	-0.12300395405482	0.04037
ARHGEF26	0.174132981598915	0.0174
SLC4A3	0.142894837314668	0.03443
IL1A	-0.209141397838592	0.004692
TANC1	-0.12565110166152	0.04205
GTF3C2	-0.124328135002202	0.04126
FNDC4	-0.195347598322219	0.007809
REEP6	0.288593199554153	0.001825
PCSK4	0.417347659966045	0.0001172
APC2	0.461958546666336	4.043e-05
RPS15	0.134002027397734	0.0418
NDUFS7	0.71477535453214	2.066e-07
CCDC88A	-0.113700499164728	0.03546
ACADL	0.176576709314742	0.0174
ELMOD3	-0.130930869826449	0.03814
EFHD1	-0.180147861158429	0.01089
ARID3A	0.230566762638752	0.005656
PRRX1	0.487216879082637	2.667e-05
ELAPOR1	-0.230203013366421	0.003817
FBXO2	-0.298658315564515	0.0008297
FBXO6	-0.136191386287144	0.03549
MIIP	0.174947097664133	0.01714
NCF2	-0.149259365499623	0.02472
RGS2	0.147361882921011	0.03066
AGMAT	-0.16349873228288	0.01869
OSCP1	-0.242450073677701	0.002143
BMP8B	-0.138814468902282	0.03345
RIMS3	-0.200378797984026	0.005767
ST6GALNAC5	0.276310389669385	0.002375
HMGCL	-0.142740172116082	0.0255
ID3	-1.13619138628714	1.836e-11
ARTN	-0.185232254230161	0.0103
TSPAN1	-0.178873958169795	0.01049
MAN1C1	-0.216610068742442	0.006154
PROX1	0.119980638446204	0.007881
CTSD	0.20074687643936	0.01058
RPS25	0.178044935298647	0.0171
NRP2	-0.126972856257766	0.04059
KLF7	-0.13224779829844	0.03548
MYB	0.404878308003828	0.0001472
FBXL5	-0.279768421593595	0.0008341
ARMC2	0.148480808830096	0.03089
STBD1	0.449887370352755	5.395e-05
PIGZ	0.3084658350808	0.00122
CCDC92	0.130839261599883	0.04826
DYNC2I2	0.19280996679804	0.01249
C19orf25	0.140666490603732	0.03462
ZBTB45	0.309538205081281	0.00113
TGFB3	-0.153156788061421	0.01939
ARMH3	-0.121678556588252	0.04521
MSX2	-0.236339539168374	0.003225
PCDHB8	-0.0662614422687213	0.01828
PCDHB10	-0.171206827418142	0.01697
PCDHB12	0.343000318505964	0.0005991
PLXDC2	-0.172487515510134	0.01244
KBTBD7	0.140507454607221	0.03665
TGFBI	-0.124328135002202	0.04368
SOCS2	0.147841316336962	0.03051
CLU	-0.136191386287144	0.03617
PTK2B	-0.133563525741106	0.03739
EPHX2	-0.29983076182237	0.0005509
NACA3P	0.164399254980705	0.02573
TEX14	-0.253384235800074	0.001635
CRY2	-0.140124223909071	0.02799
TMEM156	0.153125626185084	0.02632
RASL11A	-0.168642035558839	0.01404
ZNF205	0.503077533991929	1.666e-05
RWDD3	-0.151858816727005	0.02454
SLC66A2	0.147042349134347	0.033
INHBA	-0.133563525741106	0.04082
SPINK4	-0.13224779829844	0.03279
PLAU	-0.160920188181103	0.01679
DDX54	0.148960614291275	0.03107
GIPC1	0.20024953829911	0.01027
ATP7B	-0.195347598322219	0.00656
TSFM	-0.133563525741106	0.03199
MMP19	-0.150559676575381	0.02232
TUBA1B	-0.183962834842595	0.009259
G0S2	0.26413127092642	0.003213
GPR83	0.244685095954902	0.004443
MXD4	0.149440579377228	0.03027
DAW1	-0.168642035558839	0.01641
CHPF	0.336792027519353	0.0006582
ENKD1	0.188857826330692	0.01281
SNX21	0.154730761020099	0.02855
TP53TG5	-0.0894981508391026	0.04063
MCEE	0.131629303260768	0.04644
SPDEF	0.255666652618641	0.003527
SOX4	0.336974243502025	0.0006704
RAB17	-0.159629185821228	0.003382
DOK4	-0.282143228781498	0.0007978
MSTO1	-0.220329954879556	0.003546
PPP1R12C	0.225497554890341	0.00678
PPDPF	0.283667519712013	0.001978
CHCHD5	0.132577924691695	0.04175
PSD4	-0.137503523749935	0.03448
ALKBH7	0.240758928242722	0.00486
RTN2	0.175598721451584	0.01793
SDCBP2	0.154891372769876	0.04138
FOXA2	0.131313234677865	0.04537
BMP2	0.188528969470164	0.01339
NCLN	0.221286778913893	0.007014
CITED1	-0.180147861158429	0.01046
ID1	-0.358396261956654	0.0001145
ROMO1	0.175924643748438	0.01884
GRPR	-0.340277404766254	0.0004208
TMEM53	-0.217851096811131	0.003909
XRCC3	0.229720656790274	0.00586
LRFN3	0.217088257119184	0.007416
PDCD2L	-0.136191386287144	0.03572
RBM42	0.139553606611556	0.03692
CCR7	0.603182897130962	2.683e-06
NR1D1	-0.197865391353738	0.00721
SCAF1	0.213069138909714	0.008699
PRR12	0.26222672274106	0.003072
WNK4	0.165693297037092	0.02724
AHDC1	0.270207978440035	0.002577
DLGAP5	0.145126631193161	0.03093
AIF1L	-0.155749232677945	0.01957
FAM78A	0.109203133897266	0.04774
NUP214	-0.146655222119465	0.02457
MAP2K2	0.170393953539446	0.01827
EDN2	0.341902794648628	0.0005678
ABHD8	0.214742411007388	0.008377
BEST3	-0.113700499164728	0.03973
TAS2R4	-0.263034405833794	0.001969
IDUA	0.192315356756893	0.01479
F2RL3	0.398778914415054	0.0001712
PKMYT1	0.419661525804291	9.735e-05
WDR24	0.208727692223415	0.008582
CHTF18	0.343000318505964	0.0005688
TUBBP1	-0.171206827418142	0.01417
TICAM1	0.234295534791949	0.005262
EMC6	0.640029111663249	1.25e-06
AKAP9	-0.32883646422954	0.0001436
DGCR6L	0.312401761492718	0.001128
A4GALT	0.170718702002469	0.01863
CDC42EP1	0.244856041513593	0.004265
APOL3	-0.142740172116082	0.02998
APOBEC3F	-0.144046369616707	0.02524
RNF112	-0.0299828662157143	0.04103
SPECC1	-0.124328135002202	0.04397
VGF	0.276834656542415	0.002542
PODXL	-0.12565110166152	0.0425
DNAJB9	-0.337996463515016	0.0001768
FEZF1	0.150561119271143	0.02877
MRPS12	0.15521264992094	0.02571
EIF2S2P4	0.194955238629597	0.01462
CALML4	0.266038336691079	0.002965
SOX15	0.164237581305309	0.02784
CHRNA10	-0.291603558030565	0.001025
PGAP6	0.147042349134347	0.03083
DOHH	0.297963104087316	0.001625
ABHD17A	0.148161027150656	0.0354
GAMT	0.129576094141808	0.04377
APOC1	-0.178873958169795	0.01257
ATP8B3	-0.138814468902282	0.03166
GTPBP3	0.167960667348026	0.02063
LSM7	0.270207978440035	0.002603
FCHO1	0.234295534791949	0.005324
MAP1S	0.454624641127441	4.733e-05
SSBP4	0.427595352609668	8.671e-05
GDF15	0.538471440527123	9.055e-06
JUND	0.151842802900928	0.02717
ZBTB46	-0.171206827418142	0.01595
HELZ2	0.332970798589448	0.0007057
CYP2E1	0.319405585118651	0.001073
PAK4	0.157141816744023	0.03053
ZNF337	0.167636539051698	0.02016
LAMA5	0.451267468208081	5.712e-05
ADRM1	0.295836280546035	0.001532
METTL26	0.134160347841338	0.04702
YIPF2	0.136695840657202	0.03878
ATG4D	0.173482019358479	0.01772
TMEM160	0.363085419644122	0.0003667
NPAS1	0.401063166177473	0.0001708
MAP3K10	0.346664773208869	0.0005301
PPAN	0.152965210880434	0.02654
LRP3	0.328072615185263	0.0007769
UBE4B	-0.124328135002202	0.04266
EPS8L1	0.241782116257871	0.004699
GFAP	-0.151858816727005	0.02538
ZNF428	0.143213453711919	0.04117
F12	0.552579495409503	4.674e-06
PRR7	0.689194568936827	3.197e-07
NFATC1	0.203900672296569	0.0103
TBC1D5	-0.130930869826449	0.03525
NAPSA	-0.185232254230161	0.01022
NR1H2	0.195615964558658	0.0114
KIF3A	0.132577924691695	0.04103
AOC3	-0.364012053558615	0.0001049
ANKHD1	-0.171206827418142	0.01219
EXOC4	-0.12300395405482	0.046
ACAP3	0.187871480548729	0.01455
C1orf159	0.406024820679444	0.0001465
RFX1	0.140984615200586	0.03835
DCAF15	0.12799868851682	0.04556
CC2D1A	0.167150483106546	0.01978
MATN3	-0.246104009883917	0.002853
EMILIN2	-0.153156788061421	0.02135
TRIM5	-0.12565110166152	0.04168
RAMP1	0.183441250612556	0.01439
POPDC3	-0.126972856257766	0.04235
KDM6B	0.133685438622953	0.04631
XAF1	0.155373315330192	0.02521
REEP2	-0.144046369616707	0.02452
TESMIN	0.241270431542137	0.004681
RBM38	0.180168347573463	0.01535
ATP8A2	-0.204140716780225	0.00574
PIK3C2B	-0.16478627814334	0.01422
DCLK1	-0.196607044094818	0.006728
BEX2	0.234465253637023	0.005447
SLC39A11	-0.149259365499623	0.02283
BTBD2	0.25256963166354	0.003728
KMT5C	0.332789087519129	0.0007292
ZNF414	0.262918994846901	0.003122
CSNK1G2	0.285424761148374	0.002005
MACROD1	0.167960667348026	0.0215
PLAAT4	-0.171206827418142	0.01634
MICAL2	-0.133563525741106	0.03255
BHLHE40	-0.12961273813047	0.04188
TSPAN2	-0.149259365499623	0.02369
PTPN22	-0.102993993323326	0.03823
PTGFRN	-0.265436896049098	0.002105
NGF	-0.168642035558839	0.01389
PLEKHA8P1	0.149920704194202	0.03265
GRHL1	-0.172487515510134	0.01314
RSAD2	-0.490570130446201	9.486e-06
CMPK2	-0.146655222119465	0.02713
TMEM241	-0.126972856257766	0.04079
CABLES1	-0.175045486110914	0.01071
PIWIL4	-0.200378797984026	0.006138
FHOD3	-0.134878054343112	0.03282
DAGLA	0.24297675349254	0.004507
SLC43A3	-0.14535138557262	0.02439
TMEM258	-0.119024103142275	0.04938
DZIP1	-0.0426443374084937	0.04815
ACRV1	0.199089748941648	0.01495
FAM189A2	-0.200378797984026	0.008466
ADAM19	-0.138814468902282	0.03062
OASL	-0.265436896049098	0.001253
LCA5	0.145924537878446	0.03629
LMO2	-0.0440443327060212	0.03878
BLOC1S1	-0.121678556588252	0.04762
PKIB	0.32102669214583	0.0009746
STX11	0.222969614799193	0.009384
DYSF	-0.133563525741106	0.03419
CCDC142	-0.117695042669755	0.0414
GPR55	0.165207895235545	0.02325
TTLL4	-0.140124223909071	0.02744
FLNB	-0.167357927738514	0.01338
NEK3	0.228705984348338	0.006085
THSD1	-0.177598929327733	0.01076
EDNRB	-0.138814468902282	0.03002
DDX56	-0.124328135002202	0.04325
NACAD	-0.162210036314307	0.01843
TTYH3	0.269512200736224	0.002643
MTHFS	0.226172421019306	0.007536
LIMD2	0.144648098918038	0.03166
HLX	0.217591435072627	0.007508
IL1RN	-0.232660756790275	0.002864
DNAJC1	0.151362038095294	0.02723
RALGPS1	-0.27500704749987	0.00101
ZFP37	0.14337278830161	0.0355
SLC31A2	-0.154453592679872	0.02161
ZNF189	0.140984615200586	0.03371
GARNL3	-0.181420640280142	0.01009
CTSV	-0.206643223983395	0.006741
DMAC1	0.178534676194175	0.01594
TMEM8B	-0.158337027167101	0.01884
PIM1	-0.155749232677945	0.0205
FRS3	0.159556908610208	0.02731
TUBB2B	-0.12300395405482	0.00279
FHDC1	0.251195309062932	0.003827
IL18BP	0.182458599848566	0.01876
RNF121	-0.136191386287144	0.03092
SORL1	-0.147957881387101	0.02422
CFAP300	-0.297484915710575	0.0005431
TRIM29	-0.496717987935177	6.512e-06
RPLP1	0.2017420673555	0.01006
ITPKA	0.276310389669385	0.002421
SMAD6	-0.14535138557262	0.02885
PAK6	-0.169925001442312	0.01496
DUOX1	-0.117695042669755	0.04827
IFI44	-0.12961273813047	0.04006
PREB	-0.124328135002202	0.04765
SIX3	0.166340753590487	0.02416
CH25H	-0.120351940365222	0.04932
CALHM2	-0.12300395405482	0.04391
KIF20B	-0.200378797984026	0.005307
GPR87	-0.249748715083569	0.006022
RPS24	0.166988500841638	0.02106
MYPN	-0.133563525741106	0.03996
CDK15	-0.221567788538409	0.004039
HECW2	-0.215367972203479	0.004268
SLC40A1	-0.210388864445403	0.004567
PRKG2	-0.153156788061421	0.02752
FRAS1	-0.13224779829844	0.03807
CENPE	-0.313826296390398	0.0005081
EGF	-0.297484915710575	0.0005573
MAPK8IP3	0.191985710910402	0.01343
B4GALNT3	0.247936530315769	0.005425
ETFBKMT	-0.14535138557262	0.02895
TMEM117	-0.18269229751619	0.0119
RPL14P1	-0.242450073677701	0.002635
FAM222A	0.247080178987195	0.004198
CCDC65	-0.308011314552178	0.0004985
N4BP2L1	0.317067197282784	0.00101
BRCA2	-0.20163386116965	0.01376
RHOF	0.443202753407257	7.085e-05
GRTP1	-0.13224779829844	0.03581
RTN1	-0.242450073677701	0.002949
NEIL1	0.145286177230469	0.0428
TLNRD1	0.198096385321345	0.01063
BBS4	-0.13224779829844	0.03568
HAPLN3	-0.137503523749935	0.03186
DET1	-0.221567788538409	0.003572
ARMC5	0.241952718166766	0.004572
FTO	-0.150559676575381	0.02253
NLRC5	-0.126972856257766	0.03885
KIFC3	0.177555360595383	0.01652
